EXHP,Fragm1,Fragm2,Fragm3,Fragm4,Fragm5,Fragm6,Fragm7,Fragm8,Fragm9,Fragm10,Fragm11,Fragm12
1.00,148.00,118.00,73.00,91.00,101.00,78.00,154.00,142.00,122.00,76.00,145.00,117.00
1.00,178.00,186.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,140.00,105.00,130.00,118.00,122.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,82.00,83.00,125.00,95.00,151.00,102.00,97.00,22.00,22.00,22.00,22.00,22.00
1.00,157.00,22.00,164.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,139.00,106.00,95.00,130.00,131.00,127.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,132.00,22.00,145.00,22.00,121.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,87.00,22.00,98.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,116.00,74.00,114.00,83.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,102.00,131.00,179.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,155.00,138.00,101.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,163.00,120.00,178.00,125.00,131.00,102.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,95.00,84.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,78.00,163.00,118.00,135.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,110.00,156.00,88.00,157.00,107.00,151.00,76.00,176.00,93.00,22.00,22.00,22.00
1.00,85.00,74.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,109.00,179.00,115.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,101.00,71.00,73.00,96.00,84.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,154.00,96.00,79.00,179.00,92.00,122.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,154.00,153.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,83.00,82.00,133.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,163.00,180.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,140.00,70.00,78.00,165.00,105.00,142.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,102.00,82.00,129.00,138.00,141.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,177.00,88.00,158.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,151.00,158.00,103.00,145.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,129.00,95.00,172.00,145.00,117.00,151.00,80.00,22.00,22.00,22.00,22.00,22.00
1.00,123.00,132.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,71.00,106.00,132.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,115.00,103.00,114.00,171.00,110.00,150.00,80.00,117.00,22.00,22.00,22.00,22.00
1.00,148.00,79.00,156.00,88.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,163.00,74.00,173.00,93.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,80.00,134.00,84.00,115.00,114.00,171.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,154.00,185.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,157.00,148.00,135.00,187.00,124.00,179.00,140.00,107.00,78.00,142.00,191.00,22.00
1.00,78.00,186.00,129.00,151.00,104.00,132.00,119.00,22.00,22.00,22.00,22.00,22.00
1.00,92.00,102.00,154.00,100.00,78.00,165.00,105.00,114.00,168.00,158.00,127.00,104.00
1.00,199.00,104.00,81.00,151.00,171.00,126.00,70.00,189.00,86.00,22.00,22.00,22.00
1.00,134.00,166.00,103.00,180.00,165.00,145.00,157.00,172.00,89.00,22.00,22.00,22.00
1.00,158.00,134.00,132.00,173.00,128.00,159.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,127.00,157.00,129.00,195.00,143.00,199.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,190.00,136.00,112.00,158.00,134.00,132.00,173.00,22.00,22.00,22.00,22.00,22.00
1.00,131.00,104.00,165.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,106.00,22.00,200.00,22.00,116.00,22.00,150.00,22.00,153.00,22.00,152.00,22.00
1.00,143.00,187.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,109.00,198.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,89.00,96.00,96.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,134.00,118.00,90.00,91.00,71.00,92.00,145.00,22.00,22.00,22.00,22.00,22.00
1.00,127.00,22.00,118.00,22.00,139.00,22.00,190.00,22.00,71.00,22.00,142.00,22.00
1.00,135.00,157.00,85.00,125.00,79.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,92.00,130.00,82.00,113.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,148.00,193.00,157.00,192.00,85.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,140.00,107.00,152.00,179.00,104.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,172.00,150.00,138.00,151.00,140.00,86.00,169.00,142.00,22.00,22.00,22.00,22.00
1.00,159.00,192.00,112.00,80.00,132.00,92.00,77.00,22.00,22.00,22.00,22.00,22.00
1.00,144.00,157.00,86.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,134.00,131.00,82.00,141.00,90.00,106.00,184.00,75.00,22.00,22.00,22.00,22.00
1.00,115.00,103.00,114.00,171.00,110.00,150.00,80.00,117.00,22.00,22.00,22.00,22.00
1.00,159.00,70.00,124.00,120.00,140.00,164.00,101.00,22.00,22.00,22.00,22.00,22.00
1.00,163.00,74.00,173.00,93.00,154.00,108.00,132.00,131.00,76.00,22.00,22.00,22.00
1.00,80.00,134.00,84.00,115.00,114.00,171.00,164.00,109.00,142.00,152.00,22.00,22.00
1.00,152.00,128.00,123.00,88.00,196.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,78.00,186.00,129.00,151.00,104.00,132.00,119.00,22.00,22.00,22.00,22.00,22.00
1.00,78.00,165.00,105.00,114.00,168.00,158.00,127.00,104.00,22.00,22.00,22.00,22.00
1.00,199.00,104.00,81.00,151.00,171.00,126.00,70.00,189.00,22.00,22.00,22.00,22.00
1.00,165.00,145.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,172.00,143.00,175.00,193.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,127.00,157.00,129.00,195.00,143.00,199.00,165.00,181.00,70.00,104.00,22.00,22.00
1.00,178.00,22.00,165.00,22.00,125.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,168.00,146.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,115.00,103.00,114.00,171.00,110.00,150.00,80.00,117.00,96.00,158.00,22.00,22.00
1.00,148.00,79.00,156.00,88.00,75.00,159.00,70.00,124.00,22.00,22.00,22.00,22.00
1.00,108.00,132.00,131.00,22.00,111.00,130.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,154.00,185.00,117.00,152.00,128.00,123.00,88.00,196.00, 198,98.00,22.00,22.00
1.00,124.00,179.00,140.00,107.00,78.00,142.00,191.00,22.00,22.00,22.00,22.00,22.00
1.00,78.00,186.00,129.00,151.00,104.00,132.00,119.00,195.00,153.00,163.00,143.00,84.00
1.00,105.00,114.00,168.00,158.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,199.00,104.00,81.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,165.00,145.00,157.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,134.00,166.00,103.00,180.00,165.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,127.00,157.00,129.00,195.00,143.00,199.00,165.00,181.00,70.00,22.00,22.00,22.00
1.00,190.00,136.00,112.00,158.00,134.00,132.00,173.00,128.00,159.00,147.00,170.00,96.00
1.00,131.00,104.00,165.00,175.00,150.00,91.00,157.00,130.00,197.00,99.00,199.00,85.00
1.00,178.00,22.00,165.00,22.00,125.00,22.00,128.00,22.00,189.00,22.00,158.00,22.00
1.00,176.00,79.00,85.00,134.00,159.00,89.00,157.00,22.00,22.00,22.00,22.00,22.00
1.00,168.00,146.00,94.00,109.00,198.00,153.00,126.00,86.00,75.00,178.00,113.00,22.00
1.00,115.00,103.00,114.00,171.00,110.00,150.00,80.00,117.00,22.00,22.00,22.00,22.00
1.00,159.00,70.00,124.00,120.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,163.00,74.00,173.00,93.00,154.00,108.00,132.00,131.00,76.00,111.00,22.00,22.00
1.00,80.00,134.00,84.00,115.00,114.00,171.00,164.00,109.00,142.00,152.00,89.00,22.00
1.00,154.00,185.00,117.00,152.00,128.00,123.00,88.00,196.00,198.00,22.00,22.00,22.00
1.00,78.00,186.00,129.00,151.00,104.00,132.00,119.00,195.00,153.00,163.00,22.00,22.00
1.00,105.00,114.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,126.00,70.00,189.00,134.00,87.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,134.00,166.00,103.00,180.00,165.00,145.00,157.00,172.00,89.00,143.00,22.00,22.00
1.00,145.00,143.00,193.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,127.00,157.00,129.00,195.00,143.00,199.00,165.00,181.00,70.00,104.00,136.00,138.00
1.00,190.00,136.00,112.00,158.00,134.00,132.00,173.00,128.00,159.00,22.00,22.00,22.00
1.00,158.00,22.00,190.00,22.00,197.00,22.00,138.00,22.00,110.00,22.00,142.00,22.00
1.00,176.00,79.00,85.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,153.00,126.00,86.00,75.00,178.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,148.00,79.00,156.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,163.00,74.00,173.00,93.00,154.00,108.00,132.00,131.00,76.00,111.00,130.00,22.00
1.00,115.00,114.00,171.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,152.00,88.00,196.00,198.00,98.00,109.00,84.00,22.00,22.00,22.00,22.00,22.00
1.00,157.00,148.00,135.00,187.00,124.00,179.00,140.00,22.00,22.00,22.00,22.00,22.00
1.00,104.00,132.00,119.00,195.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,102.00,100.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,199.00,104.00,81.00,151.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,134.00,166.00,103.00,180.00,165.00,145.00,157.00,172.00,22.00,22.00,22.00,22.00
1.00,124.00,70.00,107.00,140.00,136.00,143.00,138.00,133.00,197.00,122.00,22.00,22.00
1.00,127.00,157.00,129.00,195.00,143.00,199.00,165.00,136.00,138.00,104.00,22.00,22.00
1.00,132.00,173.00,128.00,159.00,147.00,170.00,96.00,22.00,22.00,22.00,22.00,22.00
1.00,178.00,22.00,165.00,22.00,125.00,22.00,128.00,22.00,189.00,22.00,158.00,22.00
1.00,159.00,157.00,187.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,168.00,146.00,94.00,109.00,198.00,153.00,126.00,86.00,75.00,178.00,120.00,113.00
1.00,115.00,103.00,114.00,171.00,110.00,150.00,80.00,117.00,96.00,158.00,109.00,92.00
1.00,148.00,79.00,156.00,22.00,124.00,120.00,140.00,164.00,101.00,22.00,22.00,22.00
1.00,163.00,131.00,146.00,130.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,152.00,128.00,123.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,157.00,148.00,135.00,187.00,124.00,179.00,140.00,107.00,78.00,22.00,22.00,22.00
1.00,186.00,129.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,78.00,165.00,105.00,114.00,168.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,22.00,171.00,126.00,189.00,86.00,174.00,134.00,87.00,22.00,22.00,22.00,22.00
1.00,134.00,103.00,180.00,165.00,145.00,157.00,172.00,89.00,143.00,175.00,183.00,22.00
1.00,155.00,125.00,107.00,22.00,87.00,102.00,71.00,190.00,103.00,100.00,22.00,22.00
1.00,127.00,22.00,104.00,136.00,138.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,190.00,136.00,112.00,158.00,134.00,132.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,157.00,130.00,197.00,99.00,199.00,85.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,178.00,22.00,165.00,22.00,125.00,22.00,128.00,22.00,189.00,22.00,158.00,22.00
1.00,159.00,89.00,157.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,198.00,153.00,126.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,150.00,158.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,148.00,156.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,163.00,174.00,173.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,80.00,84.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,157.00,148.00,135.00,187.00,124.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,132.00,119.00,195.00,153.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,92.00,102.00,154.00,100.00,78.00,165.00,105.00,114.00,168.00,158.00,127.00,22.00
1.00,199.00,104.00,81.00,151.00,171.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,165.00,145.00,157.00,172.00,89.00,143.00,175.00,193.00,22.00,22.00,22.00,22.00
1.00,188.00,197.00,117.00,120.00,125.00,127.00,196.00,131.00,165.00,102.00,149.00,154.00
1.00,181.00,136.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,132.00,128.00,147.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,131.00,165.00,150.00,22.00,157.00,130.00,197.00,199.00,85.00,22.00,22.00,22.00
1.00,176.00,159.00,89.00,157.00,136.00,198.00,143.00,187.00,22.00,22.00,22.00,22.00
1.00,149.00,22.00,73.00,22.00,144.00,22.00,127.00,22.00,124.00,22.00,191.00,22.00
1.00,104.00,22.00,105.00,22.00,136.00,22.00,183.00,22.00,172.00,22.00,174.00,22.00
1.00,116.00,22.00,112.00,22.00,140.00,22.00,159.00,22.00,106.00,22.00,150.00,22.00
1.00,180.00,22.00,122.00,22.00,86.00,22.00,200.00,22.00,174.00,22.00,22.00,22.00
1.00,174.00,22.00,86.00,22.00,82.00,22.00,116.00,22.00,134.00,22.00,99.00,22.00
1.00,200.00,22.00,168.00,22.00,121.00,22.00,87.00,22.00,99.00,22.00,110.00,22.00
1.00,130.00,22.00,184.00,22.00,167.00,22.00,93.00,22.00,186.00,22.00,102.00,22.00
1.00,105.00,22.00,98.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,151.00,22.00,126.00,189.00,174.00,134.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,145.00,22.00,168.00,22.00,136.00,22.00,169.00,22.00,197.00,22.00,80.00,22.00
1.00,102.00,22.00,22.00,98.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,178.00,22.00,182.00,22.00,181.00,22.00,121.00,22.00,109.00,22.00,199.00,22.00
1.00,127.00,22.00,81.00,22.00,71.00,22.00,94.00,22.00,105.00,22.00,104.00,22.00
1.00,190.00,22.00,122.00,22.00,85.00,22.00,90.00,22.00,151.00,22.00,22.00,22.00
1.00,155.00,22.00,108.00,22.00,131.00,22.00,78.00,22.00,93.00,22.00,120.00,22.00
1.00,90.00,22.00,89.00,22.00,184.00,22.00,76.00,22.00,163.00,22.00,99.00,22.00
1.00,187.00,22.00,189.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,98.00,22.00,86.00,22.00,97.00,22.00,107.00,22.00,22.00,22.00,22.00,22.00
1.00,195.00,153.00,143.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,105.00,114.00,168.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,77.00,22.00,181.00,22.00,195.00,22.00,109.00,22.00,151.00,22.00,22.00,22.00
1.00,100.00,22.00,196.00,22.00,184.00,22.00,117.00,22.00,88.00,22.00,95.00,22.00
1.00,197.00,117.00,169.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,199.00,22.00,181.00,136.00,138.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,189.00,22.00,170.00,22.00,119.00,22.00,174.00,22.00,81.00,22.00,104.00,22.00
1.00,125.00,22.00,94.00,22.00,135.00,22.00,113.00,22.00,159.00,22.00,92.00,22.00
1.00,178.00,22.00,165.00,22.00,125.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,176.00,134.00,159.00,75.00,136.00,198.00,143.00,187.00,22.00,22.00,22.00,22.00
1.00,168.00,146.00,109.00,198.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,115.00,103.00,114.00,171.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,195.00,22.00,146.00,22.00,131.00,22.00,136.00,22.00,107.00,22.00,177.00,22.00
1.00,163.00,22.00,95.00,22.00,183.00,22.00,144.00,22.00,113.00,22.00,92.00,22.00
1.00,175.00,22.00,197.00,22.00,145.00,22.00,125.00,22.00,116.00,22.00,22.00,22.00
1.00,185.00,22.00,108.00,22.00,81.00,22.00,118.00,22.00,158.00,22.00,184.00,22.00
1.00,156.00,22.00,173.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,163.00,22.00,136.00,22.00,122.00,22.00,106.00,22.00,139.00,22.00,142.00,22.00
1.00,96.00,22.00,71.00,22.00,103.00,22.00,140.00,22.00,105.00,22.00,196.00,22.00
1.00,105.00,22.00,101.00,22.00,94.00,22.00,125.00,22.00,166.00,22.00,120.00,22.00
1.00,98.00,22.00,67.00,22.00,86.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,103.00,105.00,22.00,95.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,107.00,79.00,71.00,175.00,132.00,92.00,174.00,153.00,141.00,130.00,199.00,22.00
1.00,158.00,22.00,144.00,22.00,93.00,22.00,143.00,22.00,200.00,22.00,83.00,22.00
1.00,145.00,22.00,176.00,22.00,159.00,22.00,77.00,22.00,95.00,22.00,165.00,22.00
1.00,167.00,22.00,75.00,22.00,96.00,22.00,87.00,22.00,133.00,22.00,146.00,22.00
1.00,199.00,181.00,104.00,136.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,178.00,22.00,157.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,108.00,22.00,88.00,22.00,106.00,22.00,123.00,22.00,22.00,22.00,22.00,22.00
1.00,96.00,22.00,143.00,22.00,145.00,22.00,107.00,22.00,135.00,22.00,70.00,22.00
1.00,150.00,22.00,177.00,22.00,123.00,22.00,198.00,22.00,197.00,22.00,22.00,22.00
1.00,188.00,179.00,99.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
1.00,208.00,122.00,178.00,78.00,83.00,106.00,22.00,22.00,22.00,22.00,22.00,22.00
0.00,20.00,20.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
0.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00
,,,,,,,,,,,,
0.9591,,,,,,,,,,,,
